,artist,date,song
512,"Zedd, Maren Morris & Grey",2018-03-03,The Middle
513,G-Eazy & Halsey,2018-03-03,Him & I
514,Kendrick Lamar Featuring Zacari,2018-03-03,Love.
515,Imagine Dragons,2018-03-03,Thunder
516,Halsey,2018-03-03,Bad At Love
517,Bazzi,2018-03-03,Mine
518,Post Malone,2018-03-03,I Fall Apart
519,MAX Featuring gnash,2018-03-03,Lights Down Low
520,Charlie Puth,2018-03-03,How Long
521,"Migos, Nicki Minaj & Cardi B",2018-03-03,MotorSport
522,"Jay Rock, Kendrick Lamar, Future & James Blake",2018-03-03,King's Dead
523,Ed Sheeran,2018-03-03,Shape Of You
524,6ix9ine,2018-03-03,Gummo
525,Cardi B Featuring 21 Savage,2018-03-03,Bartier Cardi
526,G-Eazy Featuring A$AP Rocky & Cardi B,2018-03-03,No Limit
527,Camila Cabello,2018-03-03,Never Be The Same
528,Selena Gomez X Marshmello,2018-03-03,Wolves
529,Justin Timberlake Featuring Chris Stapleton,2018-03-03,Say Something
530,Khalid,2018-03-03,Young Dumb & Broke
531,Portugal. The Man,2018-03-03,Feel It Still
532,Cardi B,2018-03-03,Bodak Yellow (Money Moves)
533,Eminem Featuring Ed Sheeran,2018-03-03,River
534,YoungBoy Never Broke Again,2018-03-03,Outside Today
535,Thomas Rhett,2018-03-03,Marry Me
536,Miguel Featuring Travis Scott,2018-03-03,Sky Walker
537,A$AP Ferg Featuring Nicki Minaj,2018-03-03,Plain Jane
538,Maroon 5,2018-03-03,Wait
539,Offset & Metro Boomin,2018-03-03,Ric Flair Drip
540,Demi Lovato,2018-03-03,Sorry Not Sorry
541,Jason Aldean,2018-03-03,You Make It Easy
542,Khalid & Normani,2018-03-03,Love Lies
543,Scotty McCreery,2018-03-03,Five More Minutes
544,Sam Smith,2018-03-03,Too Good At Goodbyes
545,Rich The Kid Featuring Kendrick Lamar,2018-03-03,New Freezer
546,Lil Pump,2018-03-03,Gucci Gang
547,N*E*R*D & Rihanna,2018-03-03,Lemon
548,Gucci Mane Featuring Migos,2018-03-03,I Get The Bag
549,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,2018-03-03,Let Me Go
550,Macklemore Featuring Kesha,2018-03-03,Good Old Days
551,Migos Featuring Drake,2018-03-03,Walk It Talk It
552,Chris Stapleton,2018-03-03,Broken Halos
553,Kane Brown,2018-03-03,Heaven
554,"ScHoolboy Q, 2 Chainz & Saudi",2018-03-03,X
555,Ozuna & Romeo Santos,2018-03-03,El Farsante
556,Daddy Yankee,2018-03-03,Dura
557,Marshmello & Anne-Marie,2018-03-03,Friends
558,Old Dominion,2018-03-03,Written In The Sand
559,Imagine Dragons,2018-03-03,Whatever It Takes
560,Famous Dex Featuring A$AP Rocky,2018-03-03,Pick It Up
561,Migos,2018-03-03,Narcos
562,Luke Bryan,2018-03-03,Most People Are Good
563,Walker Hayes,2018-03-03,You Broke Up With Me
564,SOB X RBE,2018-03-03,Paramedic!
565,Lil Xan,2018-03-03,Betrayed
566,Russell Dickerson,2018-03-03,Yours
567,Khalid & Swae Lee,2018-03-03,The Ways
568,Rich The Kid,2018-03-03,Plug Walk
569,Devin Dawson,2018-03-03,All On Me
570,Demi Lovato,2018-03-03,Tell Me You Love Me
571,Ozuna x Cardi B,2018-03-03,La Modelo
572,Lil Skies Featuring Landon Cube,2018-03-03,Nowadays
573,YoungBoy Never Broke Again,2018-03-03,No Smoke
574,Derez De'Shon,2018-03-03,Hardaway
575,Luis Fonsi & Demi Lovato,2018-03-03,Echame La Culpa
576,Jordan Davis,2018-03-03,Singles You Up
577,Lil Skies Featuring Landon Cube,2018-03-03,Red Roses
578,Tank,2018-03-03,When We
579,Brett Eldredge,2018-03-03,The Long Way
580,P!nk,2018-03-03,Beautiful Trauma
581,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",2018-03-03,Keke
582,Kendrick Lamar & Travis Scott,2018-03-03,Big Shot
583,Post Malone,2018-03-03,Candy Paint
584,Keala Settle & The Greatest Showman Ensemble,2018-03-03,This Is Me
585,Jacquees X Dej Loaf,2018-03-03,At The Club
586,Kelsea Ballerini,2018-03-03,Legends
587,Migos Featuring Post Malone,2018-03-03,Notice Me
588,Kodak Black Featuring Lil Wayne,2018-03-03,Codeine Dreaming
589,Lauv,2018-03-03,I Like Me Better
590,Taylor Swift Featuring Ed Sheeran & Future,2018-03-03,End Game
591,Liam Payne & Rita Ora,2018-03-03,For You (Fifty Shades Freed)
592,Daniel Caesar Featuring Kali Uchis,2018-03-03,Get You
593,Maluma X Nego do Borel,2018-03-03,Corazon
594,Plies,2018-03-03,Rock
595,Dua Lipa,2018-03-03,IDGAF
596,YBN Nahmir,2018-03-03,Rubbin Off The Paint
597,WALK THE MOON,2018-03-03,One Foot
598,Keith Urban,2018-03-03,Female
599,Becky G Featuring Bad Bunny,2018-03-03,Mayores
600,Drake,2018-02-03,God's Plan
601,Ed Sheeran,2018-02-03,Perfect
602,Camila Cabello Featuring Young Thug,2018-02-03,Havana
603,Post Malone Featuring 21 Savage,2018-02-03,Rockstar
604,Bruno Mars & Cardi B,2018-02-03,Finesse
605,Halsey,2018-02-03,Bad At Love
606,Drake,2018-02-03,Diplomatic Immunity
607,Dua Lipa,2018-02-03,New Rules
608,Imagine Dragons,2018-02-03,Thunder
609,G-Eazy Featuring A$AP Rocky & Cardi B,2018-02-03,No Limit
610,"Migos, Nicki Minaj & Cardi B",2018-02-03,MotorSport
611,Bebe Rexha & Florida Georgia Line,2018-02-03,Meant To Be
612,Sam Smith,2018-02-03,Too Good At Goodbyes
613,NF,2018-02-03,Let You Down
614,Kendrick Lamar Featuring Zacari,2018-02-03,Love.
615,G-Eazy & Halsey,2018-02-03,Him & I
616,Lil Pump,2018-02-03,Gucci Gang
617,6ix9ine,2018-02-03,Gummo
618,Post Malone,2018-02-03,I Fall Apart
619,Cardi B Featuring 21 Savage,2018-02-03,Bartier Cardi
620,Charlie Puth,2018-02-03,How Long
621,Ed Sheeran,2018-02-03,Shape Of You
622,Cardi B,2018-02-03,Bodak Yellow (Money Moves)
623,Gucci Mane Featuring Migos,2018-02-03,I Get The Bag
624,Portugal. The Man,2018-02-03,Feel It Still
625,Selena Gomez X Marshmello,2018-02-03,Wolves
626,A$AP Ferg Featuring Nicki Minaj,2018-02-03,Plain Jane
627,Imagine Dragons,2018-02-03,Believer
628,Miguel Featuring Travis Scott,2018-02-03,Sky Walker
629,Taylor Swift Featuring Ed Sheeran & Future,2018-02-03,End Game
630,Kodak Black Featuring XXXTENTACION,2018-02-03,Roll In Peace
631,Demi Lovato,2018-02-03,Sorry Not Sorry
632,Justin Timberlake,2018-02-03,Filthy
633,Eminem Featuring Ed Sheeran,2018-02-03,River
634,Khalid,2018-02-03,Young Dumb & Broke
635,Thomas Rhett,2018-02-03,Marry Me
636,Camila Cabello,2018-02-03,Never Be The Same
637,MAX Featuring gnash,2018-02-03,Lights Down Low
638,Offset & Metro Boomin,2018-02-03,Ric Flair Drip
639,N*E*R*D & Rihanna,2018-02-03,Lemon
640,Maroon 5 Featuring SZA,2018-02-03,What Lovers Do
641,Lil Uzi Vert Featuring Nicki Minaj,2018-02-03,The Way Life Goes
642,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",2018-02-03,Keke
643,J Balvin & Willy William Featuring Beyonce,2018-02-03,Mi Gente
644,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,2018-02-03,Let Me Go
645,Logic Featuring Alessia Cara & Khalid,2018-02-03,1-800-273-8255
646,21 Savage,2018-02-03,Bank Account
647,Charlie Puth,2018-02-03,Attention
648,Russell Dickerson,2018-02-03,Yours
649,French Montana Featuring Swae Lee,2018-02-03,Unforgettable
650,YoungBoy Never Broke Again,2018-02-03,Outside Today
651,Migos,2018-02-03,Stir Fry
652,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",2018-02-03,Pills And Automobiles
653,Kendrick Lamar & SZA,2018-02-03,All The Stars
654,Macklemore Featuring Kesha,2018-02-03,Good Old Days
655,Bazzi,2018-02-03,Mine
656,Lil Skies Featuring Landon Cube,2018-02-03,Nowadays
657,Famous Dex Featuring A$AP Rocky,2018-02-03,Pick It Up
658,LANCO,2018-02-03,Greatest Love Story
659,Old Dominion,2018-02-03,Written In The Sand
660,YoungBoy Never Broke Again,2018-02-03,No Smoke
661,Chris Young,2018-02-03,Losing Sleep
662,Brett Young,2018-02-03,Like I Loved You
663,Scotty McCreery,2018-02-03,Five More Minutes
664,The Chainsmokers,2018-02-03,Sick Boy
665,Keala Settle & The Greatest Showman Ensemble,2018-02-03,This Is Me
666,Kane Brown,2018-02-03,Heaven
667,Luis Fonsi & Demi Lovato,2018-02-03,Echame La Culpa
668,YBN Nahmir,2018-02-03,Rubbin Off The Paint
669,Walker Hayes,2018-02-03,You Broke Up With Me
670,Justin Timberlake,2018-02-03,Supplies
671,Kodak Black Featuring Lil Wayne,2018-02-03,Codeine Dreaming
672,Lil Xan,2018-02-03,Betrayed
673,Lil Skies Featuring Landon Cube,2018-02-03,Red Roses
674,WALK THE MOON,2018-02-03,One Foot
675,Ozuna x Cardi B,2018-02-03,La Modelo
676,Zac Efron & Zendaya,2018-02-03,Rewrite The Stars
677,Post Malone,2018-02-03,Candy Paint
678,Demi Lovato,2018-02-03,Tell Me You Love Me
679,Eric Church,2018-02-03,Round Here Buzz
680,Devin Dawson,2018-02-03,All On Me
681,NF,2018-02-03,No Name
682,"Jay Rock, Kendrick Lamar, Future & James Blake",2018-02-03,King's Dead
683,BTS Featuring Desiigner,2018-02-03,MIC Drop
684,Chris Stapleton,2018-02-03,Broken Halos
685,6ix9ine,2018-02-03,Kooda
686,Kelsea Ballerini,2018-02-03,Legends
687,Maroon 5,2018-02-03,Wait
688,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",2018-02-03,Best Friend
689,Quavo & Lil Yachty,2018-02-03,Ice Tray
690,P!nk,2018-02-03,Beautiful Trauma
691,Dua Lipa,2018-02-03,IDGAF
692,Maluma X Nego do Borel,2018-02-03,Corazon
693,Becky G Featuring Bad Bunny,2018-02-03,Mayores
694,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",2018-02-03,The Greatest Show
695,Loren Allred,2018-02-03,Never Enough
696,Lil Baby,2018-02-03,My Dawg
697,Blake Shelton,2018-02-03,I'll Name The Dogs
698,Plies,2018-02-03,Rock
699,Keith Urban,2018-02-03,Female
700,Ed Sheeran,2018-01-06,Perfect
701,Post Malone Featuring 21 Savage,2018-01-06,Rockstar
702,Camila Cabello Featuring Young Thug,2018-01-06,Havana
703,G-Eazy Featuring A$AP Rocky & Cardi B,2018-01-06,No Limit
704,Imagine Dragons,2018-01-06,Thunder
705,Lil Pump,2018-01-06,Gucci Gang
706,"Migos, Nicki Minaj & Cardi B",2018-01-06,MotorSport
707,Sam Smith,2018-01-06,Too Good At Goodbyes
708,Halsey,2018-01-06,Bad At Love
709,Cardi B,2018-01-06,Bodak Yellow (Money Moves)
710,Kendrick Lamar Featuring Zacari,2018-01-06,Love.
711,Dua Lipa,2018-01-06,New Rules
712,Mariah Carey,2018-01-06,All I Want For Christmas Is You
713,Cardi B Featuring 21 Savage,2018-01-06,Bartier Cardi
714,6ix9ine,2018-01-06,Gummo
715,Post Malone,2018-01-06,I Fall Apart
716,NF,2018-01-06,Let You Down
717,Khalid,2018-01-06,Young Dumb & Broke
718,Ed Sheeran,2018-01-06,Shape Of You
719,Demi Lovato,2018-01-06,Sorry Not Sorry
720,Maroon 5 Featuring SZA,2018-01-06,What Lovers Do
721,Gucci Mane Featuring Migos,2018-01-06,I Get The Bag
722,Portugal. The Man,2018-01-06,Feel It Still
723,G-Eazy & Halsey,2018-01-06,Him & I
724,Imagine Dragons,2018-01-06,Believer
725,Bebe Rexha & Florida Georgia Line,2018-01-06,Meant To Be
726,Charlie Puth,2018-01-06,How Long
727,21 Savage,2018-01-06,Bank Account
728,Selena Gomez X Marshmello,2018-01-06,Wolves
729,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2018-01-06,Despacito
730,A$AP Ferg Featuring Nicki Minaj,2018-01-06,Plain Jane
731,J Balvin & Willy William Featuring Beyonce,2018-01-06,Mi Gente
732,SZA,2018-01-06,The Weekend
733,Logic Featuring Alessia Cara & Khalid,2018-01-06,1-800-273-8255
734,Lil Uzi Vert Featuring Nicki Minaj,2018-01-06,The Way Life Goes
735,Brenda Lee,2018-01-06,Rockin' Around The Christmas Tree
736,Bruno Mars,2018-01-06,That's What I Like
737,Andy Williams,2018-01-06,It's The Most Wonderful Time Of The Year
738,Charlie Puth,2018-01-06,Attention
739,Taylor Swift Featuring Ed Sheeran & Future,2018-01-06,End Game
740,Miguel Featuring Travis Scott,2018-01-06,Sky Walker
741,Nat King Cole,2018-01-06,The Christmas Song (Merry Christmas To You)
742,Eminem Featuring Ed Sheeran,2018-01-06,River
743,Marshmello Featuring Khalid,2018-01-06,Silence
744,Thomas Rhett,2018-01-06,Marry Me
745,Burl Ives,2018-01-06,A Holly Jolly Christmas
746,French Montana Featuring Swae Lee,2018-01-06,Unforgettable
747,P!nk,2018-01-06,What About Us
748,N*E*R*D & Rihanna,2018-01-06,Lemon
749,Post Malone,2018-01-06,Candy Paint
750,Kodak Black Featuring XXXTENTACION,2018-01-06,Roll In Peace
751,Ozuna x Cardi B,2018-01-06,La Modelo
752,Offset & Metro Boomin,2018-01-06,Ric Flair Drip
753,MAX Featuring gnash,2018-01-06,Lights Down Low
754,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,2018-01-06,Let Me Go
755,Brett Young,2018-01-06,Like I Loved You
756,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",2018-01-06,Pills And Automobiles
757,LANCO,2018-01-06,Greatest Love Story
758,YBN Nahmir,2018-01-06,Rubbin Off The Paint
759,Macklemore Featuring Kesha,2018-01-06,Good Old Days
760,Taylor Swift,2018-01-06,...Ready For It?
761,Russell Dickerson,2018-01-06,Yours
762,Blake Shelton,2018-01-06,I'll Name The Dogs
763,Tay-K,2018-01-06,The Race
764,Huncho Jack Featuring Takeoff,2018-01-06,Eye 2 Eye
765,Taylor Swift,2018-01-06,Look What You Made Me Do
766,6ix9ine,2018-01-06,Kooda
767,Huncho Jack,2018-01-06,Modern Slavery
768,Imagine Dragons + Khalid,2018-01-06,Thunder/Young Dumb & Broke (Medley)
769,Kodak Black Featuring Lil Wayne,2018-01-06,Codeine Dreaming
770,Huncho Jack,2018-01-06,Black & Chinese
771,Eric Church,2018-01-06,Round Here Buzz
772,Luke Bryan,2018-01-06,Light It Up
773,Luis Fonsi & Demi Lovato,2018-01-06,Echame La Culpa
774,Lil Xan,2018-01-06,Betrayed
775,Chris Young,2018-01-06,Losing Sleep
776,YoungBoy Never Broke Again,2018-01-06,No Smoke
777,Demi Lovato,2018-01-06,Tell Me You Love Me
778,Walker Hayes,2018-01-06,You Broke Up With Me
779,Quavo & Lil Yachty,2018-01-06,Ice Tray
780,Maren Morris,2018-01-06,I Could Use A Love Song
781,BTS Featuring Desiigner,2018-01-06,MIC Drop
782,Huncho Jack Featuring Offset,2018-01-06,Dubai Shit
783,Lil Baby,2018-01-06,My Dawg
784,Famous Dex Featuring A$AP Rocky,2018-01-06,Pick It Up
785,Old Dominion,2018-01-06,Written In The Sand
786,Huncho Jack,2018-01-06,Huncho Jack
787,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",2018-01-06,Krippy Kush
788,Scotty McCreery,2018-01-06,Five More Minutes
789,Huncho Jack,2018-01-06,Motorcycle Patches
790,Becky G Featuring Bad Bunny,2018-01-06,Mayores
791,Huncho Jack,2018-01-06,Saint
792,Eminem Featuring Beyonce,2018-01-06,Walk On Water
793,Migos,2018-01-06,Stir Fry
794,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",2018-01-06,Home
795,XXXTENTACION Featuring Trippie Redd,2018-01-06,F**k Love
796,Kelsea Ballerini,2018-01-06,Legends
797,Niall Horan,2018-01-06,Too Much To Ask
798,Zayn Featuring Sia,2018-01-06,Dusk Till Dawn
799,Yo Gotti,2018-01-06,Juice
800,Ed Sheeran,2018-01-03,Perfect
801,Post Malone Featuring 21 Savage,2018-01-03,Rockstar
802,Camila Cabello Featuring Young Thug,2018-01-03,Havana
803,Lil Pump,2018-01-03,Gucci Gang
804,G-Eazy Featuring A$AP Rocky & Cardi B,2018-01-03,No Limit
805,Imagine Dragons,2018-01-03,Thunder
806,"Migos, Nicki Minaj & Cardi B",2018-01-03,MotorSport
807,Sam Smith,2018-01-03,Too Good At Goodbyes
808,Mariah Carey,2018-01-03,All I Want For Christmas Is You
809,Halsey,2018-01-03,Bad At Love
810,Eminem Featuring Ed Sheeran,2018-01-03,River
811,Cardi B,2018-01-03,Bodak Yellow (Money Moves)
812,Dua Lipa,2018-01-03,New Rules
813,6ix9ine,2018-01-03,Gummo
814,G-Eazy & Halsey,2018-01-03,Him & I
815,Post Malone,2018-01-03,I Fall Apart
816,Maroon 5 Featuring SZA,2018-01-03,What Lovers Do
817,NF,2018-01-03,Let You Down
818,Gucci Mane Featuring Migos,2018-01-03,I Get The Bag
819,Portugal. The Man,2018-01-03,Feel It Still
820,Demi Lovato,2018-01-03,Sorry Not Sorry
821,Kendrick Lamar Featuring Zacari,2018-01-03,Love.
822,Selena Gomez X Marshmello,2018-01-03,Wolves
823,Ed Sheeran,2018-01-03,Shape Of You
824,J Balvin & Willy William Featuring Beyonce,2018-01-03,Mi Gente
825,A$AP Ferg Featuring Nicki Minaj,2018-01-03,Plain Jane
826,Lil Uzi Vert Featuring Nicki Minaj,2018-01-03,The Way Life Goes
827,Bebe Rexha & Florida Georgia Line,2018-01-03,Meant To Be
828,SZA,2018-01-03,The Weekend
829,Brenda Lee,2018-01-03,Rockin' Around The Christmas Tree
830,Charlie Puth,2018-01-03,How Long
831,Andy Williams,2018-01-03,It's The Most Wonderful Time Of The Year
832,Khalid,2018-01-03,Young Dumb & Broke
833,Logic Featuring Alessia Cara & Khalid,2018-01-03,1-800-273-8255
834,21 Savage,2018-01-03,Bank Account
835,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2018-01-03,Despacito
836,Nat King Cole,2018-01-03,The Christmas Song (Merry Christmas To You)
837,Burl Ives,2018-01-03,A Holly Jolly Christmas
838,Marshmello Featuring Khalid,2018-01-03,Silence
839,Imagine Dragons,2018-01-03,Believer
840,Miguel Featuring Travis Scott,2018-01-03,Sky Walker
841,Taylor Swift Featuring Ed Sheeran & Future,2018-01-03,End Game
842,Wham!,2018-01-03,Last Christmas
843,Charlie Puth,2018-01-03,Attention
844,Offset & Metro Boomin,2018-01-03,Ric Flair Drip
845,N*E*R*D & Rihanna,2018-01-03,Lemon
846,French Montana Featuring Swae Lee,2018-01-03,Unforgettable
847,Bruno Mars,2018-01-03,That's What I Like
848,Jose Feliciano,2018-01-03,Feliz Navidad
849,Bobby Helms,2018-01-03,Jingle Bell Rock
850,Kodak Black Featuring XXXTENTACION,2018-01-03,Roll In Peace
851,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,2018-01-03,Let Me Go
852,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",2018-01-03,Pills And Automobiles
853,6ix9ine,2018-01-03,Kooda
854,YBN Nahmir,2018-01-03,Rubbin Off The Paint
855,Brett Young,2018-01-03,Like I Loved You
856,MAX Featuring gnash,2018-01-03,Lights Down Low
857,Post Malone,2018-01-03,Candy Paint
858,Taylor Swift,2018-01-03,...Ready For It?
859,LANCO,2018-01-03,Greatest Love Story
860,Macklemore Featuring Kesha,2018-01-03,Good Old Days
861,P!nk,2018-01-03,What About Us
862,Thomas Rhett,2018-01-03,Marry Me
863,Kodak Black Featuring Lil Wayne,2018-01-03,Codeine Dreaming
864,Blake Shelton,2018-01-03,I'll Name The Dogs
865,Russell Dickerson,2018-01-03,Yours
866,Addison Agen,2018-01-03,Tennessee Rain
867,Tay-K,2018-01-03,The Race
868,Chloe Kohanski,2018-01-03,Wish I Didn't Love You
869,Eric Church,2018-01-03,Round Here Buzz
870,Lil Baby,2018-01-03,My Dawg
871,Luke Bryan,2018-01-03,Light It Up
872,Demi Lovato,2018-01-03,Tell Me You Love Me
873,Famous Dex Featuring A$AP Rocky,2018-01-03,Pick It Up
874,Luis Fonsi & Demi Lovato,2018-01-03,Echame La Culpa
875,Taylor Swift,2018-01-03,Look What You Made Me Do
876,Lil Xan,2018-01-03,Betrayed
877,Chris Young,2018-01-03,Losing Sleep
878,BTS Featuring Desiigner,2018-01-03,MIC Drop
879,YoungBoy Never Broke Again,2018-01-03,No Smoke
880,Maren Morris,2018-01-03,I Could Use A Love Song
881,Quavo & Lil Yachty,2018-01-03,Ice Tray
882,Walker Hayes,2018-01-03,You Broke Up With Me
883,Red Marlow,2018-01-03,I Pray
884,NAV Featuring Lil Uzi Vert,2018-01-03,Wanted You
885,Becky G Featuring Bad Bunny,2018-01-03,Mayores
886,Eminem Featuring Beyonce,2018-01-03,Walk On Water
887,Zayn Featuring Sia,2018-01-03,Dusk Till Dawn
888,Old Dominion,2018-01-03,Written In The Sand
889,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",2018-01-03,Home
890,XXXTENTACION Featuring Trippie Redd,2018-01-03,F**k Love
891,Eminem,2018-01-03,Believe
892,Yo Gotti,2018-01-03,Juice
893,Trippie Redd Featuring Travis Scott,2018-01-03,Dark Knight Dummo
894,Tank,2018-01-03,When We
895,Scotty McCreery,2018-01-03,Five More Minutes
896,Niall Horan,2018-01-03,Too Much To Ask
897,Camila Cabello,2018-01-03,Never Be The Same
898,Devin Dawson,2018-01-03,All On Me
899,Kelsea Ballerini,2018-01-03,Legends
900,Post Malone Featuring 21 Savage,2017-12-02,Rockstar
901,Camila Cabello Featuring Young Thug,2017-12-02,Havana
902,Lil Pump,2017-12-02,Gucci Gang
903,Imagine Dragons,2017-12-02,Thunder
904,Cardi B,2017-12-02,Bodak Yellow (Money Moves)
905,Sam Smith,2017-12-02,Too Good At Goodbyes
906,Ed Sheeran,2017-12-02,Perfect
907,Logic Featuring Alessia Cara & Khalid,2017-12-02,1-800-273-8255
908,Portugal. The Man,2017-12-02,Feel It Still
909,J Balvin & Willy William Featuring Beyonce,2017-12-02,Mi Gente
910,Maroon 5 Featuring SZA,2017-12-02,What Lovers Do
911,Demi Lovato,2017-12-02,Sorry Not Sorry
912,G-Eazy Featuring A$AP Rocky & Cardi B,2017-12-02,No Limit
913,Eminem Featuring Beyonce,2017-12-02,Walk On Water
914,"Migos, Nicki Minaj & Cardi B",2017-12-02,MotorSport
915,Gucci Mane Featuring Migos,2017-12-02,I Get The Bag
916,Halsey,2017-12-02,Bad At Love
917,Taylor Swift,2017-12-02,...Ready For It?
918,Dua Lipa,2017-12-02,New Rules
919,P!nk,2017-12-02,What About Us
920,French Montana Featuring Swae Lee,2017-12-02,Unforgettable
921,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017-12-02,Despacito
922,Yo Gotti Featuring Nicki Minaj,2017-12-02,Rake It Up
923,Charlie Puth,2017-12-02,Attention
924,Post Malone,2017-12-02,I Fall Apart
925,Imagine Dragons,2017-12-02,Believer
926,21 Savage,2017-12-02,Bank Account
927,Kesha,2017-12-02,Praying
928,Khalid,2017-12-02,Young Dumb & Broke
929,Ed Sheeran,2017-12-02,Shape Of You
930,Taylor Swift,2017-12-02,Look What You Made Me Do
931,Liam Payne Featuring Quavo,2017-12-02,Strip That Down
932,Shawn Mendes,2017-12-02,There's Nothing Holdin' Me Back
933,Bruno Mars,2017-12-02,That's What I Like
934,Niall Horan,2017-12-02,Slow Hands
935,Post Malone Featuring Quavo,2017-12-02,Congratulations
936,Lil Uzi Vert Featuring Nicki Minaj,2017-12-02,The Way Life Goes
937,SZA,2017-12-02,The Weekend
938,Luke Combs,2017-12-02,When It Rains It Pours
939,Charlie Puth,2017-12-02,How Long
940,Kendrick Lamar Featuring Zacari,2017-12-02,Love.
941,Blackbear,2017-12-02,Do Re Mi
942,Kane Brown Featuring Lauren Alaina,2017-12-02,What Ifs
943,Marshmello Featuring Khalid,2017-12-02,Silence
944,LANCO,2017-12-02,Greatest Love Story
945,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",2017-12-02,Pills And Automobiles
946,Kendrick Lamar,2017-12-02,Humble.
947,Lil Uzi Vert,2017-12-02,XO TOUR Llif3
948,The Chainsmokers & Coldplay,2017-12-02,Something Just Like This
949,GoldLink Featuring Brent Faiyaz & Shy Glizzy,2017-12-02,Crew
950,Selena Gomez X Marshmello,2017-12-02,Wolves
951,NF,2017-12-02,Let You Down
952,Bebe Rexha & Florida Georgia Line,2017-12-02,Meant To Be
953,A$AP Ferg Featuring Nicki Minaj,2017-12-02,Plain Jane
